"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2","""before all"" hook for My Login application","","Sun Nov 03 21:48:54 UTC 2024","passed","Sun Nov 03 21:48:54 UTC 2024","","My Login application","",""
"","35905","should sign up with valid credentials","","Sun Nov 03 21:48:54 UTC 2024","unknown","Sun Nov 03 21:49:30 UTC 2024","","My Login application","",""
